ymd,year,month,day,max_temp,min_temp,mean_temp,total_rain,total_snow,total_precip,snow_on_ground,max_gust_speed
2025-01-01,2025,1,1,6.1,-3.0,1.6,9.8,0.0,9.8,2.0,55.0
2025-01-02,2025,1,2,5.1,-0.6,2.3,1.7,0.0,1.7,1.0,51.0
2025-01-03,2025,1,3,-0.6,-4.0,-2.3,0.0,1.0,0.4,0.0,51.0
2025-01-04,2025,1,4,-0.4,-10.8,-5.6,0.0,0.0,0.0,0.0,37.0
2025-01-05,2025,1,5,-8.1,-12.2,-10.2,0.0,2.0,1.4,0.0,64.0
2025-01-06,2025,1,6,-5.2,-8.8,-7.0,0.0,0.0,0.0,2.0,66.0
2025-01-07,2025,1,7,-2.0,-6.5,-4.3,0.0,0.0,0.0,1.0,37.0
2025-01-08,2025,1,8,-2.0,-6.7,-4.4,0.0,0.8,0.8,1.0,48.0
2025-01-09,2025,1,9,0.3,-6.7,-3.2,0.0,1.8,1.8,2.0,48.0
2025-01-10,2025,1,10,0.3,-1.9,-0.8,0.4,1.4,1.0,1.0,63.0
2025-01-11,2025,1,11,-0.8,-2.8,-1.8,0.0,0.0,0.0,2.0,32.0
2025-01-12,2025,1,12,-1.3,-4.1,-2.7,0.0,0.0,0.0,2.0,48.0
2025-01-13,2025,1,13,-3.3,-4.9,-4.1,0.0,0.0,0.0,2.0,0.0
2025-01-14,2025,1,14,-1.3,-6.2,-3.8,0.0,0.6,0.6,1.0,0.0
2025-01-15,2025,1,15,-2.7,-7.2,-5.0,0.0,0.4,0.2,3.0,42.0
2025-01-16,2025,1,16,-6.4,-9.1,-7.8,0.0,1.0,0.2,3.0,0.0
2025-01-17,2025,1,17,-4.6,-11.3,-8.0,0.0,0.0,0.0,4.0,32.0
2025-01-18,2025,1,18,2.1,-9.6,-3.8,0.0,0.0,0.0,4.0,47.0
2025-01-19,2025,1,19,7.9,0.6,4.3,18.3,0.0,18.3,0.0,61.0
2025-01-20,2025,1,20,0.8,-12.9,-6.1,3.7,0.0,3.7,0.0,54.0
2025-01-21,2025,1,21,-7.7,-15.2,-11.5,0.0,1.0,0.2,0.0,57.0
2025-01-22,2025,1,22,-10.6,-16.1,-13.4,0.0,0.0,0.0,0.0,56.0
2025-01-23,2025,1,23,-3.7,-14.3,-9.0,0.0,0.0,0.0,0.0,39.0
2025-01-24,2025,1,24,-2.5,-10.7,-6.6,0.0,1.4,0.8,1.0,49.0
2025-01-25,2025,1,25,-4.0,-12.8,-8.4,0.0,0.0,0.0,0.0,36.0
2025-01-26,2025,1,26,0.1,-12.7,-6.3,0.0,0.6,0.6,0.0,39.0
2025-01-27,2025,1,27,0.4,-9.3,-4.5,0.0,0.0,0.0,0.0,60.0
2025-01-28,2025,1,28,2.5,-12.1,-4.8,0.5,4.6,4.3,1.0,72.0
2025-01-29,2025,1,29,0.9,-13.4,-6.3,0.0,10.0,8.6,4.0,59.0
2025-01-30,2025,1,30,-8.1,-14.4,-11.3,0.0,2.6,2.2,11.0,58.0
2025-01-31,2025,1,31,0.9,-16.0,-7.6,0.2,3.0,3.0,7.0,55.0
2025-02-01,2025,2,1,-7.8,-16.5,-12.2,0.0,4.8,4.8,11.0,45.0
2025-02-02,2025,2,2,-10.1,-19.6,-14.9,0.0,0.0,0.0,0.0,36.0
2025-02-03,2025,2,3,0.5,-10.9,-5.2,0.0,0.6,0.4,10.0,53.0
2025-02-04,2025,2,4,0.5,-10.9,-5.2,0.0,5.0,4.8,15.0,59.0
2025-02-05,2025,2,5,-10.8,-17.5,-14.2,0.0,1.8,0.8,12.0,50.0
2025-02-06,2025,2,6,0.5,-17.5,-8.5,0.0,10.2,10.2,12.0,68.0
